	diapaused_ICM	mTor_ICM	paused_E14
mmu-let-7b-5p	-0.3731945067479885	1.6011000374620263	-1.447347256987183
mmu-let-7d-3p	0.25743608821717623	0.20268835514940173	-0.5265077557253657
mmu-let-7d-5p	2.450257557397702	0.3899738609143234	0.6726131940613117
mmu-let-7e-5p	-0.508633117335019	-1.3488339357816124	-0.848887122598666
mmu-let-7f-5p	-1.7348891899628551	-0.5221844187109054	0.1807279044447596
mmu-let-7g-5p	1.271966406002138	0.868368972796508	0.5223590411648799
mmu-let-7i-5p	1.5047261753774392	0.5117157800925058	-1.120679625448465
mmu-miR-101a-3p	-1.2108484796270929	0.7911216564503097	0.430841561402536
mmu-miR-101b-3p	0.9774081444143601	0.5392772761472044	0.09700310797186518
mmu-miR-101b-5p	-0.926704089255082	-0.30483464799301896	0.1807279044447596
mmu-miR-106b-3p	1.3925736674896694	0.48962281452270934	0.1996766602736885
mmu-miR-106b-5p	0.29940149888246503	-1.0812433734793376	0.16238767574064325
mmu-miR-1187	-0.020401863388178933	0.009564753029308024	-1.8883669868427257
mmu-miR-1195	-0.020401863388178933	0.009564753029308024	0.2899997463233174
mmu-miR-1198-5p	-2.1017152586128414	-2.5549657642365085	1.0250513216914938
mmu-miR-1247-5p	-1.4000339842192278	-0.5396207515292938	0.1807279044447596
mmu-miR-125a-3p	0.2690300735679145	0.009564753029308024	-0.8719163260786449
mmu-miR-125a-5p	0.1626982019731365	0.3551702953623386	0.6117749508072026
mmu-miR-126a-3p	0.6855635350468238	-0.19703872310763806	-0.013604125979808966
mmu-miR-126a-5p	-1.0338248802816947	-0.8155233887578747	1.1037655306234053
mmu-miR-127-3p	-1.1253189962814378	0.1354579929618813	0.5199549158460977
mmu-miR-127-5p	-0.020401863388178933	0.592710112478666	0.4310667358794192
mmu-miR-129-2-3p	-0.6822456023292066	-0.10538465800151747	-0.04278110430021354
mmu-miR-1306-5p	0.3060094341253858	0.009564753029308024	2.1022096997541944
mmu-miR-130a-3p	-1.1025449546163317	-0.18542557640282037	-0.5377238483516605
mmu-miR-130b-3p	-0.6472614621613654	-1.0620005413144555	0.045692340023750846
mmu-miR-130b-5p	0.830517964786305	-0.21413920822180854	1.1178311298565768
mmu-miR-132-3p	0.2017826887292653	0.009564753029308024	0.1807279044447596
mmu-miR-134-5p	-3.1308536121752386	-1.1656916123132155	0.7233177330587444
mmu-miR-135b-5p	-0.7900228371462933	-1.3249652396536515	0.0018899531842459902
mmu-miR-136-3p	0.03291713180219102	0.009564753029308024	0.5854964642064193
mmu-miR-140-3p	-0.16272791677285456	-0.2547236353864039	-0.040345527128123254
mmu-miR-140-5p	-0.006437197332373406	0.5516675401141581	0.6051320709942266
mmu-miR-141-3p	1.9370397907393355	1.6339451468806685	0.5204192246312223
mmu-miR-141-5p	-0.5828689239221225	-0.6933571416502505	0.6662075900445412
mmu-miR-142a-3p	-2.5091075680464443	-2.506324242975117	-2.411064511201172
mmu-miR-142a-5p	-0.5085322811517389	-0.1605600583638366	-2.5232675968105207
mmu-miR-143-3p	-1.067144638966648	0.7509323466542817	0.0625236536837231
mmu-miR-144-3p	-0.8823050208478809	-0.1600003150309702	0.5064276010569452
mmu-miR-145a-5p	0.2223758308434555	0.009564753029308024	0.8049948376974511
mmu-miR-146a-5p	-0.05298838405795698	1.1500650495025944	1.1303574224360546
mmu-miR-146b-5p	0.06186233849917681	1.2490359849327557	0.9024504651777572
mmu-miR-147-3p	-0.020401863388178933	0.009564753029308024	0.6329498204204931
mmu-miR-148a-3p	1.0185974051514164	1.1366594320355534	1.2682354205537323
mmu-miR-148b-3p	1.347314835561508	1.6607297889453922	-0.10840534517733645
mmu-miR-148b-5p	-0.11634528672579261	0.23733489478877806	0.03552478501144667
mmu-miR-150-5p	0.09104979657678866	1.735412732687886	1.152453309754699
mmu-miR-151-3p	1.0176541327618918	0.009564753029308024	0.3392300023097422
mmu-miR-151-5p	-0.08177231262152436	-0.44691345539974464	0.5111859726798791
mmu-miR-152-3p	4.15328442502385	2.405551422178111	-0.13072037789195237
mmu-miR-153-3p	0.17006716490017926	0.009564753029308024	0.8151512260731395
mmu-miR-154-3p	-0.4920549256619977	-0.32601336158006666	-0.46678454139504044
mmu-miR-155-5p	-0.8296396436024325	0.8720254261041791	-0.27724910469521585
mmu-miR-15a-5p	1.941013727492977	1.3582549272650348	-0.15606464956697097
mmu-miR-15b-3p	-0.020401863388178933	0.009564753029308024	0.6124732242310059
mmu-miR-15b-5p	-0.13803424938759307	0.542231353543449	0.9521802572523829
mmu-miR-16-1-3p	-0.020401863388178933	0.7581718056324706	-0.4359793388940589
mmu-miR-16-2-3p	0.36044379736584015	0.009564753029308024	0.5260088203070139
mmu-miR-17-3p	0.8235576264925129	0.009564753029308024	-0.1514247632190413
mmu-miR-17-5p	-1.6379171621425632	-2.349477948326461	-0.2134592485655696
mmu-miR-181c-5p	-0.020401863388178933	0.009564753029308024	-0.27619900797941394
mmu-miR-181d-5p	-0.7156660486255101	-0.2467535146793211	0.3969988416467867
mmu-miR-182-5p	-0.4219839121197813	-0.9715044164500152	0.5684793791973601
mmu-miR-183-5p	0.11284200887979699	-1.0804388836743661	0.7682170439836007
mmu-miR-1839-3p	0.6630957143280092	0.009564753029308024	-0.7826237591441392
mmu-miR-1839-5p	2.4893269458703307	1.5597925605487801	1.208332148133463
mmu-miR-1843b-3p	-0.020401863388178933	0.2501021008047131	0.30948511089387737
mmu-miR-185-5p	1.0571939548893643	0.7791633138881291	-0.4249211838111188
mmu-miR-186-5p	-1.4064471608586195	-2.9087038937903875	-0.206125922436047
mmu-miR-188-5p	0.3957561292437783	-0.4027672062765858	-2.117123420272287
mmu-miR-18a-3p	-0.23470344873523397	-0.1367858125234985	-0.4695892359599384
mmu-miR-18a-5p	-2.0275832520119423	-2.538603641482873	0.0727740898049229
mmu-miR-191-5p	-0.9649636884108603	-1.0185985438896958	0.33860187745745146
mmu-miR-192-5p	1.2507890297922342	0.35012850316816496	-0.3396563172568081
mmu-miR-193a-5p	0.34568939808270605	0.009564753029308024	0.39224174781563187
mmu-miR-193b-3p	-0.020401863388178933	0.42668899634879837	-0.8881495012899843
mmu-miR-1949	-0.020401863388178933	0.40681796541763043	2.043641541040775
mmu-miR-195a-5p	0.1059221699869881	0.6418753564467276	0.6498527739660894
mmu-miR-1981-3p	-0.44793469173424	-0.12428122716524578	0.24755397849221947
mmu-miR-1981-5p	1.8678175958870735	-1.6728403231775413	0.1807279044447596
mmu-miR-1983	0.9631433915634523	0.42389640023091957	-0.7057396440072464
mmu-miR-19a-3p	-1.0975626643985574	-0.6152644423667428	0.6132553388775491
mmu-miR-19b-3p	-0.020401863388178933	0.2603420199755933	0.5235493684852195
mmu-miR-200a-3p	1.864620511561097	1.415514707898132	0.7085976640533111
mmu-miR-200a-5p	-0.40506645002592	-0.3104190217728965	0.5176101083721593
mmu-miR-200b-3p	1.5057225966950631	1.3826066427203365	1.076595479349904
mmu-miR-200b-5p	2.286323396403497	0.3895437388472377	1.5154032022967834
mmu-miR-200c-3p	1.4500151823489968	0.9589050602815211	1.3565753066819812
mmu-miR-203-3p	-0.46321537124630346	3.956604674429107	0.8570488797909979
mmu-miR-203-5p	-0.2075110963125104	0.009564753029308024	0.1807279044447596
mmu-miR-205-5p	0.6899761704419236	3.7457153304090567	0.6436494214055284
mmu-miR-20a-3p	-0.020401863388178933	0.2330355849196967	0.017390664938121747
mmu-miR-20a-5p	-1.533581086237129	-1.7650552659672674	0.31557254987466493
mmu-miR-20b-5p	0.21282124941136144	0.009564753029308024	0.44859607611348284
mmu-miR-210-3p	0.7363772329500424	0.009564753029308024	0.7874657331477071
mmu-miR-2137	-2.7549539788177424	-0.18648155583190107	0.7039137593957507
mmu-miR-214-3p	-0.020401863388178933	0.26034202223326525	0.1807279044447596
mmu-miR-21a-5p	1.45278025810865	2.40326855393358	-0.25003451984468583
mmu-miR-22-3p	0.0669862601829163	1.082673673750586	0.547706116662498
mmu-miR-22-5p	-0.5400545548091183	1.3820087877567828	0.5838012970836728
mmu-miR-221-3p	-0.419919596867995	3.3072802091476037	-0.35570177956064186
mmu-miR-222-3p	-0.566045993582121	2.245851040507797	-0.041276527160440384
mmu-miR-222-5p	-0.686600997500816	-0.12032290078525422	-0.2690805974809961
mmu-miR-224-5p	1.9640894106191642	0.2791289494516566	0.43853202608699426
mmu-miR-23a-3p	1.6061479131670386	2.8998221284173904	0.5278659513134525
mmu-miR-23a-5p	0.5623852803447549	0.25778956646469575	-0.0867091273054903
mmu-miR-23b-3p	-0.3250069433078281	0.19411088653398043	0.6102924202494718
mmu-miR-24-1-5p	-0.12192769511874854	0.2346422304395934	-0.07529512139803599
mmu-miR-24-2-5p	0.03508510204257831	0.3035441848145201	-0.08775192794610528
mmu-miR-25-3p	0.00814646111452125	0.7520499371162744	0.9530988427813327
mmu-miR-25-5p	-1.6186960855703025	0.3089947550460358	0.14076188367150566
mmu-miR-26b-5p	0.6773335231406604	1.4231086266877826	2.1206505627864374
mmu-miR-27a-3p	-0.05642278891938096	2.3672819337866726	0.598191265165251
mmu-miR-27a-5p	-0.2828681862973572	0.009564753029308024	-0.23659253106202102
mmu-miR-27b-3p	1.4490491399980177	2.831420630366463	0.626784723369383
mmu-miR-27b-5p	0.2812466514939712	0.009564753029308024	1.860418194346251
mmu-miR-28a-3p	2.0110791469012033	-1.7455374256052838	0.22220195922601485
mmu-miR-28a-5p	1.6539242201291897	0.9040780044972521	-0.24233966601055393
mmu-miR-290a-5p	-0.7234125490589645	-1.0166255288201573	0.2991226997704709
mmu-miR-291a-3p	-0.9762265063295829	-1.0520135603669414	0.08664936560820043
mmu-miR-291a-5p	-0.6540743565683513	-1.3090827708242583	0.7113612277840657
mmu-miR-291b-3p	-0.03965093178603157	-1.1921323255104666	-1.197861144430989
mmu-miR-291b-5p	-0.511188574780354	-1.320144630070969	0.14930664971661425
mmu-miR-292a-3p	-0.7727954337352024	-0.19759442214271766	0.6106412380410563
mmu-miR-292a-5p	-0.7644983253863228	-0.6442364371843878	0.515162066772292
mmu-miR-293-3p	-0.45849782218511786	-0.29698821703041867	-0.3433113395843268
mmu-miR-293-5p	-1.1074191430941747	-0.7604994178513732	0.6123077738420806
mmu-miR-294-3p	-0.20518047113154292	0.17257450533822397	0.6281160379809294
mmu-miR-294-5p	-0.11275706939939201	0.009602957462920256	0.5028769591278193
mmu-miR-295-3p	-0.20455742387959586	0.30283707339396587	0.0527203168928491
mmu-miR-295-5p	0.2672613766110691	0.5623355605098762	0.5415383145587083
mmu-miR-296-3p	-1.4904215503511744	-2.0452228901281244	0.5159507970372511
mmu-miR-296-5p	-0.10924210348752833	0.24909124336077204	1.5170483905799206
mmu-miR-297b-5p	0.274360810356074	-0.5285614568327299	-2.7875744328037975
mmu-miR-297c-5p	-0.28104691169025064	0.009564753029308024	-2.3702128200905612
mmu-miR-298-5p	0.3817226601459083	-2.4391238167724874	-0.39164569974893665
mmu-miR-299a-5p	-0.020401863388178933	0.2603420199755933	0.7620353785829893
mmu-miR-29a-3p	-0.7556811490481725	3.5381105166890987	1.2444395808252822
mmu-miR-29b-1-5p	-0.20751117353225276	0.009564753029308024	0.1807279044447596
mmu-miR-300-3p	-0.605968794598664	-0.3202583229208844	0.09792543998586185
mmu-miR-301a-3p	0.5418138885583437	-1.077567770872896	-0.9007268351393518
mmu-miR-301a-5p	-0.2514110572481459	-0.1375374798470528	-1.0842986672649668
mmu-miR-301b-3p	-0.12432488392098874	0.009564753029308024	-0.5529998096109148
mmu-miR-302a-3p	-0.020401863388178933	0.426688997400482	-3.3682362301640305
mmu-miR-302a-5p	-0.6822456000914402	-0.10538465624886514	-2.696349233230715
mmu-miR-302b-3p	-0.8734270322500447	-1.3844823163864866	-3.177017864777325
mmu-miR-302d-3p	-2.0948864055441754	-2.3832933611422726	-2.930402229704597
mmu-miR-3068-3p	-0.6875299854210306	0.049104685463361705	1.9100130456189715
mmu-miR-3068-5p	-0.24452816071905237	-0.18729867148253293	0.1807279044447596
mmu-miR-30a-3p	-0.04654186619634601	0.009564753029308024	-0.09411906360812192
mmu-miR-30a-5p	-0.9005394248291151	-0.050883281760045966	0.06915886698068106
mmu-miR-30b-3p	-0.20995477543615382	0.009564753029308024	-0.5232145207130339
mmu-miR-30b-5p	1.7228408851190735	2.147929391645134	0.43634249878080966
mmu-miR-30d-5p	1.618943686159686	1.102566170853858	0.7547401124919288
mmu-miR-30e-3p	-2.586635300179502	0.13717101884729083	0.4339865742852894
mmu-miR-30e-5p	-0.8772222834834486	0.5435114130897134	-0.17232361853175757
mmu-miR-31-5p	-0.0421751180295183	1.1341756764646593	1.254122469057215
mmu-miR-3102-3p	0.19030926423802816	0.009564753029308024	1.5574816849417192
mmu-miR-32-5p	0.12836733283658605	-0.5120962931974756	-0.7639741399823549
mmu-miR-320-3p	-0.6371049971667964	0.753297189433285	1.080466505626112
mmu-miR-322-3p	0.2567184356731466	0.748958645095925	1.248449866701526
mmu-miR-322-5p	0.8325984494208205	1.7379163081083018	0.18219601340005537
mmu-miR-323-3p	0.28151897183524355	-1.09757923812017	0.4895031376526282
mmu-miR-324-3p	-0.9278818061942111	-0.41503325395549545	0.48405352383929906
mmu-miR-324-5p	1.2568703561096042	-0.574083417283254	-1.2089165644767597
mmu-miR-328-3p	-0.5180502818180533	-1.2694437324204786	0.3764322967919545
mmu-miR-329-3p	0.4476913880396698	0.009564753029308024	-0.30584569911269344
mmu-miR-33-3p	0.23146395285034457	0.009564753029308024	-0.6457511442359111
mmu-miR-33-5p	-0.020401863388178933	0.009564753029308024	-1.242397320243403
mmu-miR-330-3p	0.5256353168038818	-1.0213133476269465	-1.4589230704553984
mmu-miR-330-5p	0.508295275141151	0.009564753029308024	-0.2639447168097142
mmu-miR-331-3p	-1.6102868248594826	-0.6939935652808232	0.5187418708888265
mmu-miR-335-3p	-0.5213699737773689	0.21871481670717322	-0.1453822378863199
mmu-miR-335-5p	-1.0795249963607427	-1.3668752430844455	-0.03906898049971213
mmu-miR-338-3p	-0.020401863388178933	0.009564753029308024	0.1807279044447596
mmu-miR-339-5p	-1.2658457040159878	-0.6241698298470378	0.19195669641094512
mmu-miR-340-3p	0.4367861318915532	0.009564753029308024	0.48019025347867306
mmu-miR-340-5p	-1.8696397060698555	-3.5350724092056236	1.5167540272929467
mmu-miR-341-3p	-0.4499571788114068	-0.5149288579226484	-0.34231112153277155
mmu-miR-342-3p	-0.1607177629585581	-0.6562354927234241	0.46751553333359014
mmu-miR-345-3p	0.12488584264722907	0.009564753029308024	0.031368197226083125
mmu-miR-3470b	-0.020401863388178933	0.009564753029308024	-0.47534269650161415
mmu-miR-3473b	1.3241861260778656	0.2476269416173729	-2.226104751827632
mmu-miR-3473e	-0.020401863388178933	0.426688997400482	0.4831648059699877
mmu-miR-34a-3p	-0.020401863388178933	0.009564753029308024	-0.8967629836542647
mmu-miR-34a-5p	1.0962390679294565	1.0937478751482408	-0.9795315965597382
mmu-miR-350-3p	-0.7782504679011787	0.08853035707403162	0.6206569174342321
mmu-miR-351-3p	-1.551241427520443	-0.7341818800566636	0.1807279044447596
mmu-miR-351-5p	0.3183575250917635	0.2106153505081802	-0.32127062863206185
mmu-miR-3535	-0.3612051025563411	1.361946472705377	1.1722960949232095
mmu-miR-361-3p	0.026066136964140826	0.009564753029308024	-0.2282672600339979
mmu-miR-361-5p	0.5669163409355937	0.6152821177870789	0.9036550275919222
mmu-miR-362-3p	-0.020401863388178933	0.21812912232394643	-0.2857375419845395
mmu-miR-362-5p	0.1432259233032761	0.009564753029308024	0.36841044540942763
mmu-miR-367-3p	-0.49205496240252367	-0.32601337779291806	-3.588348843813788
mmu-miR-369-3p	0.9321038562456178	0.29322365132454964	0.816571462855646
mmu-miR-369-5p	0.45461655867638634	0.009564753029308024	0.5182492014894036
mmu-miR-370-3p	-0.20813784505948066	-0.127665992484109	-0.04129489967396117
mmu-miR-374b-5p	0.37576335095023383	-1.4927842097877406	-0.5162274400299856
mmu-miR-376a-3p	0.05681806537671735	0.009564753029308024	-1.598658408385841
mmu-miR-376b-3p	0.43932823753222455	0.21717667832470722	-0.050860676421492376
mmu-miR-378a-3p	0.7138165399295231	0.4251048071142856	-0.08985916198965177
mmu-miR-378a-5p	0.8525418234934092	1.1351577700828526	-0.2775847326931117
mmu-miR-378b	0.032917131802191135	0.009564753029308024	0.1807279044447596
mmu-miR-378c	-0.7973899490573035	-0.3738658863713933	0.48564571273974944
mmu-miR-379-3p	-0.34187728847464405	-0.33401070657111165	0.6678909995008979
mmu-miR-379-5p	0.2062449677780257	1.0059497578855552	0.9156940343842263
mmu-miR-381-3p	0.26312929428821563	0.22656373487570455	0.6827608221742841
mmu-miR-382-3p	0.4075529802085385	-0.16028230304062155	0.9773623263702202
mmu-miR-382-5p	-2.2513457208897187	-1.1677034730229876	0.34371660076743127
mmu-miR-3963	-0.020401863388178933	0.7581718068813372	-0.37046942005489153
mmu-miR-3968	-1.5834350447023051	0.1935694684378008	-0.5909595666420564
mmu-miR-409-3p	-1.5171903447915691	-1.0389537624757232	0.7226964916078521
mmu-miR-410-3p	0.008810474877313986	-0.5386201198367867	0.33220715553639196
mmu-miR-411-3p	-0.6822456023292066	-0.10538465800151747	0.7614970040789578
mmu-miR-411-5p	0.5402376263066233	0.34105415362542424	1.0848299135745645
mmu-miR-421-3p	1.7473924314411606	0.8474725725353943	-0.5537992492799781
mmu-miR-423-3p	-0.2443573863571721	-0.004192524463765794	0.6795906309778622
mmu-miR-423-5p	0.06754455832447227	0.21148702290751148	0.10383906685838787
mmu-miR-425-5p	0.10218191972999377	-0.05746701976814126	0.579738288155067
mmu-miR-429-3p	1.7887716699515166	0.4436991767346891	1.0613485869292665
mmu-miR-431-5p	-0.7418201605758182	-0.3446826761074764	0.44694842231993853
mmu-miR-433-3p	0.4211863963142965	-0.40406710294355347	-0.5766768852390951
mmu-miR-434-3p	1.2335889465383978	1.1715444904666374	0.5066498742264417
mmu-miR-434-5p	0.26946452792858133	0.009564753029308024	-0.21559672113693648
mmu-miR-450b-3p	0.16231112391572974	0.009564753029308024	1.0873407756998574
mmu-miR-455-5p	-0.2797669227127562	0.5844794195749327	-0.9065638092379061
mmu-miR-466d-3p	0.5725664863427027	0.06171035981951355	-1.7663132187568829
mmu-miR-466f-3p	-0.018190669545277927	-2.177333457813022	-2.151387705778365
mmu-miR-466g	0.14584311963426755	-1.3573225003102694	-1.9401210878909965
mmu-miR-466h-3p	0.31700060561896637	0.009564753029308024	-1.3684072610789144
mmu-miR-466h-5p	0.4240834842035787	0.009564753029308024	-2.2074026678195926
mmu-miR-466i-3p	-0.04210977417352385	0.009564753029308024	0.1807279044447596
mmu-miR-466l-3p	0.032917131802191135	0.009564753029308024	-2.231621337905197
mmu-miR-466m-3p	1.4959720547258928	1.4827640257975125	-3.0317340221425932
mmu-miR-466n-3p	0.7680878577686889	-1.1154742194349132	-1.644815039498545
mmu-miR-466o-3p	0.024173599130167634	-0.4520728337956946	-1.6672034344197684
mmu-miR-467c-5p	0.4319146279858007	-0.7437735031695927	-1.2085312341131906
mmu-miR-467d-5p	-0.9069161471900025	-2.26845443790486	-1.4256925424934903
mmu-miR-467e-3p	1.4656965913424684	0.009564753029308024	-2.2970122351139635
mmu-miR-467e-5p	0.7086595639423128	1.0316972158212074	-1.4283949843568542
mmu-miR-471-5p	-0.6881427124710838	0.04411264787050383	0.9338585926223866
mmu-miR-483-3p	1.1123166894021141	1.0301230148099236	0.1807279044447596
mmu-miR-483-5p	-0.21758004500014524	-2.033398347411961	0.1807279044447596
mmu-miR-484	-1.1081241199652816	-1.2155050169678832	0.4289530226099956
mmu-miR-485-3p	-0.22241086153128325	-0.34038429217914207	0.4174326152922655
mmu-miR-485-5p	0.46073188435104684	0.009564753029308024	0.012044893014164726
mmu-miR-487b-3p	-0.6822456023292066	-0.10538465800151747	0.666494126264203
mmu-miR-494-3p	0.05498232310859611	0.4022290768967611	0.6351716857305024
mmu-miR-495-3p	-1.4109306523883356	-0.7052905244762356	0.5217154727974931
mmu-miR-497a-5p	0.2033188038336501	0.009564753029308024	-0.6555594060850028
mmu-miR-500-3p	0.30983266335283505	-0.5404848775631672	-0.09993786459401474
mmu-miR-500-5p	0.05681806537671735	0.009564753029308024	0.1807279044447596
mmu-miR-501-3p	1.1259849020998032	-0.7466967222826989	-0.09047160166400323
mmu-miR-503-3p	0.7865693262166563	1.3571771583509058	0.7884051728925139
mmu-miR-503-5p	-0.1446477995587421	-0.20746414144303033	-0.7372754298080464
mmu-miR-505-5p	-1.3445049300382754	-0.37190259301565465	0.5056174040897619
mmu-miR-5099	1.1005015240001303	-1.666988380855746	-0.8395946900154444
mmu-miR-5100	-0.6822456000914402	-0.10538465624886514	-0.43962543736964543
mmu-miR-5121	-0.7049842592318716	-0.15024000732689607	1.2385160112211764
mmu-miR-5126	-3.074435970555484	-0.11863498313134464	0.5428891685569516
mmu-miR-5128	-0.8575607048508412	-0.38675520316599976	-0.22517240750781048
mmu-miR-532-3p	1.1181679350652358	0.9067764780820697	0.676768301680605
mmu-miR-532-5p	0.6657541722784418	0.1339343471125377	-0.0450111265087607
mmu-miR-541-5p	-0.07377707361050519	-0.5564544650753164	0.6520671220622962
mmu-miR-542-3p	2.032374201789726	0.009564753029308024	1.1992769941961525
mmu-miR-542-5p	-0.020401863388178933	0.26034202223326525	0.5338164502534978
mmu-miR-543-3p	-0.6822456000914402	-0.10538465624886514	0.4146339074232803
mmu-miR-574-3p	0.6152526280948735	0.2075458251765077	1.1233419393257416
mmu-miR-574-5p	0.4708069670859893	0.9347079518716167	0.23329619730430326
mmu-miR-615-3p	0.8392849577409773	0.009564753029308024	0.1807279044447596
mmu-miR-6236	0.009457428262265007	0.009564753029308024	1.4255284185087818
mmu-miR-6240	0.5193004645321985	1.0189127099807034	1.1493377564637592
mmu-miR-6516-3p	0.4367861318915532	0.009564753029308024	0.10169768541235343
mmu-miR-652-3p	1.2497123565877113	-0.5059999568260266	0.5949575958180491
mmu-miR-6538	-0.05339959571306404	0.6394848377563657	0.5116614653587848
mmu-miR-6539	-1.1261412482262407	-0.8277325771557736	-1.54887029104452
mmu-miR-664-3p	0.3973179177753505	0.009564753029308024	0.47837713148618394
mmu-miR-665-3p	0.15615658280998976	0.009564753029308024	-0.20523331523951585
mmu-miR-669a-3-3p	1.0257098931491522	0.009564753029308024	-2.343985597541561
mmu-miR-669b-3p	1.2102670898094765	0.6312004204424192	-2.097978410025827
mmu-miR-669c-3p	0.1514338472156527	0.5021435393945434	-2.40237689713203
mmu-miR-669c-5p	0.553321015434751	-0.23089461529997896	-2.5654255501160153
mmu-miR-669e-3p	0.2618145548402405	0.009564753029308024	-1.32066359526171
mmu-miR-669f-3p	3.5732056700236785	1.739729675533777	-2.399159535609353
mmu-miR-669f-5p	-0.086553382806289	-0.147678107529106	-1.963356690976179
mmu-miR-669h-5p	0.16478696011369112	-0.8559652538859062	-2.490795897397283
mmu-miR-669i	-0.6822456000914402	-0.10538465624886514	0.1807279044447596
mmu-miR-669l-5p	-2.6745497157805564	-1.8406628183093694	-2.390762747008496
mmu-miR-669o-5p	0.3227399436814971	0.009564753029308024	-1.7539824129925874
mmu-miR-671-5p	-0.4183203817532465	-0.4669320886694968	-0.89638493046266
mmu-miR-672-5p	-2.9704716006521767	-3.0770801097456295	0.39855696245368943
mmu-miR-674-5p	-1.2600861358366853	-0.9021866646288826	0.09969694990728145
mmu-miR-676-3p	3.0736935320405765	1.3867108578731546	0.6292844153167348
mmu-miR-677-3p	-0.926704124807647	-0.3048346445953667	1.0221374239228527
mmu-miR-702-3p	0.8353622137915712	0.13112563194020696	0.24644112718264397
mmu-miR-7021-5p	-0.020401863388178933	0.26034202223326525	0.1807279044447596
mmu-miR-7033-5p	-0.4482393796074395	-0.12694426523612376	1.518007477221018
mmu-miR-706	0.03291713180219102	0.009564753029308024	0.7152518243333729
mmu-miR-708-5p	-0.832476886133259	-0.44187652635727676	-0.3043629103127005
mmu-miR-7082-3p	-0.27684143542375494	0.009564753029308024	0.1807279044447596
mmu-miR-709	-0.020401863388178933	0.41537954815035755	0.23621532739609455
mmu-miR-741-3p	0.3183518912113935	0.05164661939584702	0.7180184034994433
mmu-miR-742-3p	0.034511371517143806	0.009564753029308024	0.1807279044447596
mmu-miR-743a-5p	0.2033188038336501	0.009564753029308024	0.1807279044447596
mmu-miR-743b-3p	-0.6060725573338802	-0.47286021896317443	-0.5742128827493251
mmu-miR-744-3p	-0.020401863388178933	0.009564753029308024	-0.5424624718186541
mmu-miR-744-5p	-0.17904564630386854	-0.9220239912204949	-0.21713458132721097
mmu-miR-871-3p	0.3443047540460818	0.42910445760873356	0.019714673358890857
mmu-miR-871-5p	1.500816009106203	-0.047244633143570344	0.8031854029755929
mmu-miR-872-5p	0.22754419381237612	0.21602993920123306	0.4298884335125781
mmu-miR-874-3p	-0.020401863388178933	0.009564753029308024	0.6919109687180972
mmu-miR-877-3p	-0.598327917530637	-0.45839894759775124	0.8350089945557237
mmu-miR-877-5p	0.2004882113112629	-0.809086116723165	-0.5530047059418891
mmu-miR-878-3p	-0.23029371086831293	-0.6468480169694736	0.28560582616342245
mmu-miR-881-3p	0.724998804385714	0.30050186315499383	0.3175626342664186
mmu-miR-883a-3p	-0.020401863388178933	0.21890039350426	0.019714673358890857
mmu-miR-92a-1-5p	-0.926704124807647	-0.3048346445953667	-0.031563323639105675
mmu-miR-92a-3p	-0.9409065127913168	-0.380583864851175	1.0156639200961028
mmu-miR-92b-3p	-1.4074240149601236	-0.4092682724678706	0.25190467371661857
mmu-miR-92b-5p	0.6042502007129931	0.009564753029308024	0.7808718128909865
mmu-miR-93-3p	-0.020401863388178933	0.009564753029308024	0.1946196320057673
mmu-miR-93-5p	-0.3559018943042821	-1.6559783782557072	0.5999480261256207
mmu-miR-96-5p	-0.4858182946304697	-0.6723139927757824	-0.3148342999543215
mmu-miR-98-5p	1.8621898289242504	1.3000437624464127	0.3751938492798902
mmu-miR-99b-3p	-1.4592107276164508	-0.12287722665865744	0.2993139625985327
mmu-miR-99b-5p	0.5393711830484772	-0.7837967787404853	0.36447921603683303
