	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE
mmu-let-7b-5p	-0.33396575479231405	1.6386525623813721	1.1900349628135425	1.2467809314906946
mmu-let-7b-3p	0.012669520931146108	0.40688723007756106	-0.04246316471025207	0.09198770180862852
mmu-let-7d-5p	2.4402079791790596	0.3769904400638955	3.59316638387623	2.1337031008252882
mmu-let-7d-3p	0.2856583056290733	0.18189018275113789	0.3619974200014243	0.09198770180862852
mmu-let-7e-5p	-0.4670405255055914	-1.4343715613214014	-0.915944476026947	-1.744143274256646
mmu-let-7g-5p	1.2824818025310005	0.8753472618808092	1.5574873429012113	0.3629456944853956
mmu-let-7i-5p	1.5111791644327595	0.5038122123115855	2.193073344677229	1.1786337639608042
mmu-miR-100-5p	-1.2881394785380578	1.0888838461196138	1.1859018765148635	1.498767300478505
mmu-miR-101a-3p	-1.15699996855755	0.7948766924456062	1.213982357116765	1.6185615506599516
mmu-miR-101b-5p	-0.8778148127564891	-0.34680993261985976	0.06798278309159222	0.09198770180862852
mmu-miR-101b-3p	0.9930645311000673	0.5325237506136775	-0.7076862296877654	-0.3689483572968772
mmu-miR-101c	-0.23687392597657694	-0.019291773711047767	0.21305072007763706	0.48021389269776404
mmu-miR-106b-5p	0.32689128474755963	-1.155615405865523	-0.1633691874886008	-1.201846551446583
mmu-miR-106b-3p	1.400984078944241	0.4807973866321253	2.1030514375984777	0.3344551153419321
mmu-miR-10a-5p	2.057342850972991	2.3234330103048704	2.5708694833993637	2.0638237964068296
mmu-miR-10b-5p	2.2983524227942524	2.822184984840623	1.2115582729298255	2.575881087902973
mmu-miR-10b-3p	0.38721591624883056	1.2842359932083154	0.11628591924732004	1.4383814240469543
mmu-miR-1187	0.012669520931146108	-0.019291773711047767	-1.2631106890870112	-0.6581674105919764
mmu-miR-1195	0.012669520931146108	-0.019291773711047767	-0.8088668365666178	-0.22212925707464265
mmu-miR-1198-5p	-2.0323182536150073	-2.6908309393366086	1.4447990713752563	1.8646694110427016
mmu-miR-122-5p	-1.7665648048542382	-0.6048972391097587	-1.723681388794359	0.8217172885609415
mmu-miR-122-3p	0.012669520931146108	0.5881861482362203	0.06798278309159222	0.09198770180862852
mmu-miR-1247-5p	-1.3428835769078915	-0.5913928170577142	0.06798278309159222	0.09198770180862852
mmu-miR-1247-3p	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.5139896790666367
mmu-miR-1249-3p	1.4381723560935573	0.4011779821592838	-2.3545059617713386	-0.29653171591118
mmu-miR-125a-5p	0.19257390056066076	0.340734646713199	-0.7624017131055263	-1.4554206283391102
mmu-miR-125a-3p	0.2970499386022362	-0.019291773711047767	-0.7189232396135812	-0.24740831127958862
mmu-miR-125b-2-3p	-0.22015265927381963	-0.019291773711047767	-0.04130497627807317	0.49236933838695224
mmu-miR-126a-5p	-0.9830660010454544	-0.878807880475006	-0.7228470386281733	0.9714650656387935
mmu-miR-126a-3p	0.7063135499200381	-0.23451607092186832	1.068336426905308	2.243501017861232
mmu-miR-127-5p	0.012669520931146108	0.5881861473092533	0.06798278309159222	0.09198770180862852
mmu-miR-127-3p	-1.0729632501054334	0.11185453899726948	-0.4858243648334076	0.09198770180862852
mmu-miR-129-2-3p	-0.6376229135958613	-0.13903761084066332	0.06798278309159222	0.09198770180862852
mmu-miR-1306-5p	0.3333838902426138	-0.019291773711047767	-0.8360156180979842	-0.7456392927484042
mmu-miR-130a-3p	-1.0505866888009214	-0.22241834931192883	-0.6360568266305788	-1.4861516622136628
mmu-miR-130b-5p	0.8487380581001486	-0.252330097866032	0.06798278309159222	0.09198770180862852
mmu-miR-130b-3p	-0.6032493593246067	-1.1355696394221388	-1.9304139829963511	0.46927656611006985
mmu-miR-132-3p	0.23097623716891907	-0.019291773711047767	0.3933840442136497	0.09198770180862852
mmu-miR-134-5p	-3.0434948290314576	-1.2435873664227863	0.06798278309159222	0.09198770180862852
mmu-miR-135b-5p	-0.7435190886173754	-1.409506910224854	4.933166835515532	0.09198770180862852
mmu-miR-136-3p	0.06505792796564848	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-137-3p	0.012669520931146108	0.39984139938120855	0.12843669309811043	0.09198770180862852
mmu-miR-140-5p	0.026390458597364018	0.5454310157982022	-1.1457964066195845	-2.0797933066671357
mmu-miR-140-3p	-0.12717248452505173	-0.2946079674233379	-0.8586654191301053	-0.2023503773059484
mmu-miR-141-5p	-0.5399806782247893	-0.7515440746172887	0.11007488251901211	-0.7423833838734282
mmu-miR-141-3p	1.935947515135416	1.6728681802577823	2.077002404895162	0.5942472207997016
mmu-miR-142a-5p	-0.46694144923840697	-0.1965152825059476	0.06798278309159222	0.09198770180862852
mmu-miR-142a-3p	-2.4326002554256543	-2.6401597820816893	0.06798278309159222	0.09198770180862852
mmu-miR-143-3p	-1.0158042226500879	0.7530104270856531	2.1184081444574474	1.069948046520864
mmu-miR-144-5p	-1.0707852544454346	-0.5858306939096808	0.14373321363340544	0.9442409504483298
mmu-miR-144-3p	-0.8341906510601851	-0.19593218309403473	0.06798278309159222	0.09198770180862852
mmu-miR-145a-5p	0.25120996264228285	-0.019291773711047767	-0.5052945006191712	-0.003712028632229705
mmu-miR-146a-5p	-0.019348260022739726	1.1687975041987362	0.46570727923694294	0.09198770180862852
mmu-miR-146b-5p	0.09349794760077795	1.2718981413251647	-1.6867091135934187	0.2960418524435333
mmu-miR-147-5p	-0.8118856967090943	-0.9664560398237938	-1.099652775217023	-3.304307794946346
mmu-miR-147-3p	0.012669520931146108	-0.019291773711047767	0.04285551950895607	0.4994199153495929
mmu-miR-148a-5p	0.4682297080870403	0.2647552292589423	0.06798278309159222	0.09198770180862852
mmu-miR-148a-3p	1.0335349066058097	1.154832518459055	2.100692896174632	2.491063773675686
mmu-miR-148b-5p	-0.08159938072666859	0.21798239806182762	-0.04548044311072486	0.09198770180862852
mmu-miR-148b-3p	1.3565151593688982	1.7007704492428521	-0.8474406280827871	-1.0664279979774873
mmu-miR-150-5p	0.12217599054988017	1.778569644015157	0.06798278309159222	0.9460482164848489
mmu-miR-151-5p	-0.04762981634720249	-0.49481717840499384	0.21133828834106078	0.47290933964633164
mmu-miR-151-3p	1.0326080973568659	-0.019291773711047767	0.3770887218400083	-0.08858466055508848
mmu-miR-152-3p	4.11351154413458	2.4766708143154657	-0.569399027179809	-1.0481655081538424
mmu-miR-153-3p	0.19981425135620237	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-154-3p	-0.45075167665985955	-0.3688723578647295	0.06798278309159222	0.09198770180862852
mmu-miR-155-5p	-0.7824444542327833	0.8791562858534071	-1.1002178340862054	1.8287823344931964
mmu-miR-15a-5p	1.9398520938964343	1.38567439787756	0.12451034138268142	-0.18778665419961243
mmu-miR-15b-5p	-0.10290980115049055	0.5356010910505427	-0.8606954978493225	-0.7534427220612964
mmu-miR-15b-3p	0.012669520931146108	-0.019291773711047767	-0.8088668365666178	-0.22212925707464265
mmu-miR-16-1-3p	0.012669520931146108	0.7605519626875734	0.06798278309159222	0.09198770180862852
mmu-miR-16-2-3p	0.38686819856318644	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-17-5p	-1.5766149273808931	-2.4767688548472298	0.7328804024610331	-0.7871816107769439
mmu-miR-17-3p	0.8418992001222159	-0.019291773711047767	0.07996399481251505	-0.42905299115483914
mmu-miR-181a-2-3p	-0.00883933283194558	0.22266745770071514	0.06798278309159222	0.09198770180862852
mmu-miR-181c-5p	0.012669520931146108	-0.019291773711047767	0.41397999601712454	0.6966742789767016
mmu-miR-181d-5p	-0.6704600654888082	-0.28630528220263873	-0.676312599542614	0.26160010574356546
mmu-miR-182-5p	-0.3819036279360762	-1.0412974362703313	-0.6776162856725102	-0.3090355512828726
mmu-miR-183-5p	0.14358785857620202	-1.1547773475901943	-0.4462436017018772	-1.170994620816346
mmu-miR-1839-5p	2.478595481017482	1.5956214728061286	1.4060976647665422	3.493103304694065
mmu-miR-1839-3p	0.6842378650202583	-0.019291773711047767	-0.015242760548817187	0.09198770180862852
mmu-miR-184-3p	-1.4105321640389352	-0.3903797104079076	-1.8700388671553028	0.2865019787023938
mmu-miR-1843a-3p	-0.24216877218565624	-0.019291773711047767	0.06798278309159222	0.936165071844952
mmu-miR-1843b-5p	0.06505792796564859	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-1843b-3p	0.012669520931146108	0.23128233373330687	0.06798278309159222	0.5006526131919091
mmu-miR-185-5p	1.0714578222680358	0.7824193711948949	0.3332098746339084	-0.5215796583124727
mmu-miR-186-5p	-1.3491848229641805	-3.059329290639466	-1.6144167965082528	-0.9439784172356772
mmu-miR-188-5p	0.4215642165424034	-0.44882886485054163	1.4102885629653208	0.09198770180862852
mmu-miR-1895	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.5139896790666367
mmu-miR-18a-5p	-1.9594800892380135	-2.673786083962568	-0.36710485294094936	-0.41080264445405523
mmu-miR-18a-3p	-0.19789181168992293	-0.17174902276832152	0.02107647051119837	0.09198770180862852
mmu-miR-190b-5p	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.730649647494156
mmu-miR-191-5p	-0.915406658709202	-1.090356632516592	-0.2611107285694908	-0.4627156312990825
mmu-miR-192-5p	1.261674039728156	0.3354824786376011	-0.6229274701369509	-0.06929887175317788
mmu-miR-1934-3p	0.049312919207901436	-0.019291773711047767	0.25601874226580595	0.09198770180862852
mmu-miR-193a-5p	0.3723713110574368	-0.019291773711047767	-0.2204657667994474	-0.19345690497592066
mmu-miR-193b-3p	0.012669520931146108	0.4152375662431625	0.06798278309159222	0.09198770180862852
mmu-miR-1943-5p	-0.16992670771974364	0.2306297844788991	0.06798278309159222	0.09198770180862852
mmu-miR-1949	0.012669520931146108	0.39453738855505677	-0.3891973800744507	-0.09240945541113911
mmu-miR-195a-5p	0.13678879315429535	0.6394028803385208	0.06798278309159222	0.9296668499214662
mmu-miR-1968-5p	0.292104111245299	-0.019291773711047767	-1.042392496836832	-0.9443043136875787
mmu-miR-1981-5p	1.8679334704822095	-1.7718975716431387	0.8475123616365436	-2.167889582168896
mmu-miR-1981-3p	-0.4074014828834716	-0.1587226659714071	-0.04333671924643831	0.09198770180862852
mmu-miR-1983	0.9790487441196157	0.41232844511847366	-0.19977301199101768	-0.7458856893046223
mmu-miR-19a-3p	-1.045691355590668	-0.6701928474508678	0.01366225145672589	-0.8301363551308384
mmu-miR-200a-5p	-0.36528143003081553	-0.35262732226213284	0.570159644952245	-0.4099562937388053
mmu-miR-200a-3p	1.8647921855724905	1.4453234235165835	0.8144401229076178	0.049263901550894836
mmu-miR-200b-5p	2.2791349971702917	0.376542370547669	-0.6031507127858996	0.9828476789046144
mmu-miR-200b-3p	1.512158194989865	1.4110422229632866	0.5359995135527983	-0.1237712901382313
mmu-miR-200c-3p	1.4574230544047608	0.9696610951498265	0.9913591469572184	0.7522209251360263
mmu-miR-203-5p	-0.17117405337769256	-0.019291773711047767	0.06798278309159222	0.7160108695765767
mmu-miR-203-3p	-0.4224154653335075	4.09244394840835	0.1590905326896868	1.1022710221901386
mmu-miR-205-5p	0.7106491706185897	3.8727549494397144	-1.88767254954972	0.5206670152261252
mmu-miR-20a-5p	-1.4740998519673219	-1.867960312819378	-0.7181388038823694	-0.16310960663313387
mmu-miR-20a-3p	0.012669520931146108	0.21350369343223446	0.4502243345774425	0.09198770180862852
mmu-miR-20b-5p	0.2418221394224025	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-210-3p	0.7562403851722309	-0.019291773711047767	1.242953915062042	0.09198770180862852
mmu-miR-2137	-2.674155854691419	-0.22351839097019374	-4.261097589591539	-2.193032323735855
mmu-miR-214-3p	0.012669520931146108	0.24194953030793429	0.06798278309159222	0.09198770180862852
mmu-miR-215-5p	2.7816473452462644	0.4084084266788634	2.997461516334927	-0.8984367513421311
mmu-miR-219a-1-3p	-0.13744486779987847	-0.2121312645765276	-0.016031228859844846	-0.025141380488951526
mmu-miR-21a-5p	1.4601398706887276	2.474292690177668	0.5745800662386064	0.08202549080414805
mmu-miR-22-5p	-0.4979135577171884	1.41041942165921	0.34475397619513903	-0.2716973881434066
mmu-miR-22-3p	0.09853244035185553	1.0985941283625897	0.17629902820296092	1.8221141870971949
mmu-miR-221-3p	-0.37987534163263054	3.4160255051418376	-1.6794746035327868	0.897373063199758
mmu-miR-222-5p	-0.641902293097139	-0.1545991728473125	0.13670715684540377	0.09198770180862852
mmu-miR-222-3p	-0.5234513621898867	2.3103067092579583	-0.4967701518568033	-0.303132012622422
mmu-miR-223-3p	-0.21633745175803792	0.3036882672876044	0.002395704554633057	2.335542224674099
mmu-miR-224-5p	1.9625250320472307	0.26152036852872484	0.06798278309159222	0.09198770180862852
mmu-miR-23a-5p	0.5852851524025788	0.2392905697269035	1.1474815867680588	0.09198770180862852
mmu-miR-23a-3p	1.61083076631493	2.9915656620271855	3.2689065301320515	3.059173979067467
mmu-miR-23b-3p	-0.2866192195005166	0.1729548071750839	-0.0336198433923261	0.08730970362712301
mmu-miR-24-1-5p	-0.08708435811753693	0.21517737849965063	0.06798278309159222	0.48051677949698274
mmu-miR-24-2-5p	0.06718806014436986	0.2869543639796338	1.07949076477215	-0.6460960460687392
mmu-miR-25-5p	-1.5577293204876332	0.29263236693200717	1.1375044392915863	0.8078698428937114
mmu-miR-25-3p	0.04071958524426051	0.7541746505839668	2.0798305022513297	1.6436038855391335
mmu-miR-26b-5p	0.6982271782226819	1.4532342092649086	1.168530119927695	1.8463569133498443
mmu-miR-27a-5p	-0.24521591948875543	-0.019291773711047767	0.10888326325734017	-0.004881191639336228
mmu-miR-27a-3p	-0.022722723460378725	2.436804477612566	2.462793742333924	1.3282840541512237
mmu-miR-27b-5p	0.3090532979054995	-0.019291773711047767	0.39618048025756786	0.09198770180862852
mmu-miR-27b-3p	1.4564738726035102	2.9203100151162884	0.43943996823294823	-0.25091849289682655
mmu-miR-28a-5p	1.6577732228785254	0.9125463032308071	0.9248428342863948	0.2031938852004802
mmu-miR-28a-3p	2.008694646121879	-1.847628063074478	1.5321462781993294	0.09922355819652853
mmu-miR-290a-5p	-0.6780713645455853	-1.0883012906139886	-0.7611576058221686	-1.9480439677047783
mmu-miR-291a-5p	-0.6099433467863347	-1.392961723010709	-0.5138349621779538	-0.8702651703320989
mmu-miR-291a-3p	-0.9264729041884133	-1.1251659376264256	0.5617656033579006	0.14861561953535776
mmu-miR-291b-5p	-0.46955138198980617	-1.4044851539167806	-0.7363063148890787	-1.2519797333944656
mmu-miR-291b-3p	-0.006243589240213883	-1.2711313556239128	0.1338515451231745	-0.8349785437695653
mmu-miR-292a-5p	-0.7184400617778037	-0.7003737395636899	-0.05359709457542579	-0.5225058949191951
mmu-miR-292a-3p	-0.7265923588688972	-0.23509495728197224	0.21028426598388103	0.03981747243450299
mmu-miR-293-5p	-1.0553758069946988	-0.8214879568728946	-0.30439957636741294	-0.3603885131959107
mmu-miR-293-3p	-0.4177802526941804	-0.3386360982724672	0.025396068402694275	-0.2026093967165706
mmu-miR-294-5p	-0.07807378934685053	-0.019251975143626376	-0.2852616296363353	-0.7881043911796949
mmu-miR-294-3p	-0.16888410511086105	0.15051979013670344	0.5167399486985744	0.1828762861937677
mmu-miR-295-5p	0.2953121111025792	0.5565441743724423	-0.9520952337226343	-1.5377502738768987
mmu-miR-295-3p	-0.16827193203970334	0.28621774733898414	0.5932082223725129	0.4160996933985847
mmu-miR-296-5p	-0.07462017090851256	0.23022929683857266	-1.087655159797815	0.1974845142402317
mmu-miR-296-3p	-1.4316935889584124	-2.159818325756571	-1.5874299025042797	-2.014348744376394
mmu-miR-297b-5p	0.30228763686820687	-0.5798720577112567	-1.7733822682304403	-1.0273123715953931
mmu-miR-297c-5p	-0.24342643198813696	-0.019291773711047767	-0.3312147222621065	-0.2783549982845613
mmu-miR-298-5p	0.4077756766687542	-2.570155323433851	-1.069945583440396	-2.2756429170141708
mmu-miR-299a-5p	0.012669520931146108	0.2419495279560578	0.06798278309159222	0.09198770180862852
mmu-miR-29a-3p	-0.7097767735584972	3.6564875324246966	1.7119203585234808	3.839219267300369
mmu-miR-29b-1-5p	-0.17117412924970174	-0.019291773711047767	0.06798278309159222	0.716010889854749
mmu-miR-300-3p	-0.5626773817753018	-0.3628771821106556	0.06798278309159222	0.09198770180862852
mmu-miR-301a-5p	-0.21430781863496062	-0.1725320544697876	-0.5040554066336866	-0.0042317063548725845
mmu-miR-301a-3p	0.5650727976437372	-1.1517864335626888	-1.2295485930230274	-1.5137674293336734
mmu-miR-301b-3p	-0.08943970825611179	-0.019291773711047767	-0.7926301795897112	-0.23795360935854665
mmu-miR-302a-5p	-0.6376229113971511	-0.1390376090148791	0.06798278309159222	0.09198770180862852
mmu-miR-302a-3p	0.012669520931146108	0.41523756733872913	0.06798278309159222	0.09198770180862852
mmu-miR-302b-3p	-0.8254676119509423	-1.471507420823118	0.06798278309159222	0.09198770180862852
mmu-miR-302d-3p	-2.0256085860216335	-2.5119952633968743	0.06798278309159222	0.09198770180862852
mmu-miR-3057-5p	-0.2392943548243327	-0.019291773711047767	-0.5992857906668063	-0.23713076409272318
mmu-miR-3057-3p	0.012669520931146108	0.4152375662934596	0.06798278309159222	0.09198770180862852
mmu-miR-3068-5p	-0.2075450508135663	-0.22436960192237848	-0.7178152567268018	-0.37099405175545985
mmu-miR-3068-3p	-0.6428150671867588	0.021898018101756744	0.053615940009539634	0.09198770180862852
mmu-miR-30a-5p	-0.8521068059762659	-0.08226208790213334	0.9644152105813658	0.2934612972432572
mmu-miR-30a-3p	-0.013014254655919499	-0.019291773711047767	0.8217810090611803	1.1514819716036722
mmu-miR-30b-5p	1.7254870701492737	2.2082991416591344	3.3593284037665976	2.1814321704767647
mmu-miR-30b-3p	-0.173575082431861	-0.019291773711047767	-0.24058958479222908	-0.3598607168266543
mmu-miR-30d-5p	1.6234032118658352	1.119316667929069	2.138965666130801	1.9779007001155415
mmu-miR-30e-5p	-0.829196623829427	0.5369345628845312	-0.9580398518247444	0.9285588155819529
mmu-miR-30e-3p	-2.5087748789898665	0.11363904330080223	-0.6160378386725659	1.5513497466582196
mmu-miR-31-5p	-0.008723720305747501	1.1522451246882222	-0.13409922794023382	-1.0027838861496472
mmu-miR-3102-3p	0.21970306088004704	-0.019291773711047767	0.05458111261703714	0.09198770180862852
mmu-miR-3103-3p	0.06505792796564859	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-32-5p	0.15884221563763584	-0.562719861929663	0.3180163024207773	-0.27627331036942643
mmu-miR-320-3p	-0.5932701573485114	0.7554739462608472	-0.7916671779716826	1.5278031926548126
mmu-miR-322-5p	0.8507822315785286	1.7811776846466518	0.3497894322467002	0.06544007330511417
mmu-miR-322-3p	0.2849531784328136	0.7509543700495187	-0.49870464974855644	-0.07321908206630928
mmu-miR-323-3p	0.3093208653799317	-1.172632907470016	-1.2414683414215113	-0.19166443292454036
mmu-miR-324-5p	1.2676492273191171	-0.6272934860861048	1.3192702061311492	-1.0179945332956282
mmu-miR-324-3p	-0.8789719747427239	-0.4616067306474262	1.9819369154551887	0.9522270042603548
mmu-miR-328-3p	-0.4762933301446624	-1.351668689891986	1.6610609503898865	-0.10871431877614696
mmu-miR-329-3p	0.47259303783821044	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-33-5p	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.5139896790666367
mmu-miR-33-3p	0.26013946765595036	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-330-5p	0.5321391919622638	-0.019291773711047767	0.058278987262883476	0.42914519107589794
mmu-miR-330-3p	0.54917659406219	-1.0931847152639889	-0.1319142445027292	-0.9086017914159203
mmu-miR-331-3p	-1.5494668284544517	-0.7522070539203454	-0.3174897416787333	-0.5331909141989087
mmu-miR-335-5p	-1.027968502942294	-1.4531656675853393	-2.221627674879368	-0.42266255569538597
mmu-miR-335-3p	-0.479555082789716	0.19858537099308818	0.06798278309159222	0.09198770180862852
